id,Airport,Degree
1,ABQ,21
2,ABV,5
3,ACA,4
4,ACC,12
5,ADB,15
6,AER,4
7,AKL,19
8,ALA,19
9,ALC,19
10,ALP,1
11,AMA,4
12,AMM,40
13,ANC,9
14,ATH,40
15,ATL,106
16,AUH,58
17,AUS,30
18,AYT,21
19,BAH,26
20,BCN,55
21,BDL,25
22,BEY,31
23,BFI,1
24,BFS,11
25,BGR,2
26,BHM,20
27,BIL,7
28,BJV,10
29,BLR,21
30,BNA,39
31,BNE,19
32,BOG,23
33,BOM,33
34,BOS,65
35,BRI,17
36,BRS,26
37,BSB,8
38,BSR,4
39,BUD,33
40,BUF,17
41,BWI,55
42,BWN,9
43,BZE,4
44,CAI,49
45,CAN,57
46,CBR,4
47,CCU,11
48,CDG,112
49,CEB,9
50,CGH,4
51,CGK,26
52,CGO,27
53,CHC,6
54,CHS,13
55,CJJ,4
56,CJU,17
57,CKG,30
58,CLE,47
59,CLT,77
60,CMB,24
61,CMH,27
62,CMN,25
63,CNF,6
64,CNX,8
65,CPR,2
66,CPT,2
67,CRK,7
68,CRP,2
69,CSX,29
70,CTU,37
71,CUN,51
72,CUZ,1
73,CVG,39
74,CWL,8
75,DAD,10
76,DAM,7
77,DAY,14
78,DEL,41
79,DEN,77
80,DFW,94
81,DKR,11
82,DLC,25
83,DLH,3
84,DLM,16
85,DME,55
86,DMM,24
87,DOH,66
88,DOK,13
89,DPS,17
90,DSM,13
91,DUS,59
92,DVO,4
93,DXB,94
94,ERI,2
95,ERZ,4
96,ESB,16
97,EVN,17
98,EWR,99
99,EXT,7
100,EZE,23
101,FAI,2
102,FCO,85
103,FLL,48
104,FLN,6
105,FMO,5
106,FOC,27
107,FRA,129
108,FRU,7
109,FWA,5
110,GCM,11
111,GDL,19
112,GEG,9
113,GIG,20
114,GLA,27
115,GMP,7
116,GPT,4
117,GRB,3
118,GRU,32
119,GSO,11
120,GSP,16
121,GUM,8
122,GVA,45
123,GYD,24
124,GZT,4
125,HAJ,18
126,HAK,24
127,HAN,22
128,HAV,16
129,HER,21
130,HGH,33
131,HKG,81
132,HND,16
133,HNL,31
134,HRB,22
135,HRG,14
136,HRK,6
137,HSV,7
138,HYD,14
139,IAD,83
140,IAH,89
141,ICN,81
142,ICT,7
143,IKA,23
144,IND,27
145,ISB,16
146,IST,95
147,ITM,2
148,JAN,8
149,JAX,23
150,JED,37
151,JFK,116
152,JNB,25
153,KBP,42
154,KEF,14
155,KHH,27
156,KIN,7
157,KIX,36
158,KMG,35
159,KRK,17
160,KRT,13
161,KUF,9
162,KUL,56
163,KWI,29
164,KWL,26
165,LAS,75
166,LAX,85
167,LBA,21
168,LBB,5
169,LCA,38
170,LIM,22
171,LOS,19
172,LTK,1
173,LUX,18
174,MAA,20
175,MAD,68
176,MBA,6
177,MBS,2
178,MCI,37
179,MCO,62
180,MCT,27
181,MDL,2
182,MDW,50
183,MEL,22
184,MEM,38
185,MEX,37
186,MFM,25
187,MHD,10
188,MIA,68
189,MKE,28
190,MLA,31
191,MLE,14
192,MLI,7
193,MNL,39
194,MSP,75
195,MSQ,22
196,MSY,31
197,MTY,13
198,MUC,80
199,MVD,6
200,MXP,63
201,MYR,8
202,NAP,27
203,NAS,13
204,NBO,18
205,NCE,26
206,NGB,23
207,NGO,19
208,NKG,29
209,NNG,28
210,NRT,68
211,OAK,20
212,ODS,7
213,ONT,14
214,ORD,106
215,ORF,17
216,OTP,30
217,PBI,13
218,PDX,33
219,PEK,79
220,PER,14
221,PFO,13
222,PHF,5
223,PHL,77
224,PHX,62
225,PIT,32
226,PMO,13
227,PNH,10
228,POM,7
229,PRG,45
230,PSA,17
231,PUS,21
232,PVG,65
233,PVR,17
234,PWM,10
235,RDU,32
236,REP,14
237,RFD,3
238,RGN,14
239,RIC,17
240,RIX,25
241,RNO,14
242,ROC,13
243,RST,2
244,RSW,23
245,RUH,35
246,SAN,40
247,SAT,28
248,SAV,8
249,SAW,32
250,SCL,17
251,SDF,21
252,SDQ,15
253,SEA,57
254,SFB,12
255,SFO,68
256,SGN,28
257,SHA,23
258,SHE,28
259,SHJ,26
260,SIN,75
261,SIP,6
262,SJC,22
263,SJD,19
264,SJJ,3
265,SJU,23
266,SKG,15
267,SLC,47
268,SMF,20
269,SRQ,4
270,STL,43
271,SUB,8
272,SVO,64
273,SXF,28
274,SXM,13
275,SYD,31
276,SYR,12
277,SYX,25
278,SYZ,9
279,SZX,29
280,TBS,19
281,TBZ,5
282,THR,3
283,TIA,13
284,TIJ,8
285,TIP,11
286,TLS,21
287,TLV,43
288,TPA,44
289,TPE,56
290,TRN,12
291,TSE,11
292,TSN,28
293,TUL,14
294,TUN,30
295,TUS,15
296,TXL,45
297,TZX,5
298,UFA,8
299,UPG,5
300,VCE,31
301,VDA,2
302,VIE,63
303,VNO,13
304,VRA,6
305,VRN,14
306,WLG,5
307,WNZ,20
308,WUH,29
309,XIY,28
310,XMN,35
311,YEG,18
312,YHZ,9
313,YOW,16
314,YQB,8
315,YUL,46
316,YVR,40
317,YWG,11
318,YXU,5
319,YYC,29
320,YYJ,7
321,YYZ,85
