Component_number,id,Airport
1,44,CAI
1,10,ALP
2,253,SEA
2,23,BFI
3,170,LIM
3,72,CUZ
4,259,SHJ
4,172,LTK
5,140,IAH
5,116,GPT
5,68,CRP
5,269,SRQ
5,151,JFK
5,168,LBB
5,165,LAS
5,297,TZX
5,249,SAW
5,243,RST
5,214,ORD
5,177,MBS
5,142,ICT
5,137,HSV
5,117,GRB
5,254,SFB
5,237,RFD
5,192,MLI
5,248,SAV
5,223,PHL
5,222,PHF
5,201,MYR
5,210,NRT
5,147,ITM
5,301,VDA
5,272,SVO
5,282,THR
5,281,TBZ
5,278,SYZ
5,259,SHJ
5,204,NBO
5,298,UFA
5,229,PRG
5,287,TLV
5,261,SIP
5,260,SIN
5,191,MLE
5,306,WLG
5,275,SYD
5,321,YYZ
5,276,SYR
5,274,SXM
5,252,SDQ
5,265,SJU
5,217,PBI
5,242,ROC
5,239,RIC
5,234,PWM
5,203,NAS
5,303,VNO
5,302,VIE
5,291,TSE
5,305,VRN
5,296,TXL
5,295,TUS
5,267,SLC
5,293,TUL
5,270,STL
5,251,SDF
5,244,RSW
5,225,PIT
5,235,RDU
5,268,SMF
5,314,YQB
5,313,YOW
5,320,YYJ
5,319,YYC
5,318,YXU
5,317,YWG
5,312,YHZ
5,316,YVR
5,310,XMN
5,309,XIY
5,307,WNZ
5,308,WUH
5,292,TSN
5,279,SZX
5,257,SHA
5,277,SYX
5,289,TPE
5,299,UPG
5,271,SUB
5,238,RGN
5,181,MDL
5,256,SGN
5,236,REP
5,231,PUS
5,258,SHE
5,263,SJD
5,284,TIJ
5,262,SJC
5,241,RNO
5,65,CPR
5,196,MSY
5,255,SFO
5,213,ONT
5,218,PDX
5,246,SAN
5,247,SAT
5,197,MTY
5,233,PVR
5,311,YEG
5,315,YUL
5,304,VRA
5,300,VCE
5,286,TLS
5,294,TUN
5,285,TIP
5,226,PMO
5,290,TRN
5,283,TIA
5,280,TBS
5,264,SJJ
5,266,SKG
5,273,SXF
5,154,KEF
5,250,SCL
5,199,MVD
5,228,POM
5,53,CHC
5,220,PER
5,46,CBR
5,183,MEL
5,232,PVG
5,227,PNH
5,209,NNG
5,186,MFM
5,208,NKG
5,164,KWL
5,219,PEK
5,212,ODS
5,161,KUF
5,195,MSQ
5,240,RIX
5,205,NCE
5,202,NAP
5,216,OTP
5,230,PSA
5,221,PFO
5,167,LBA
5,159,KRK
5,190,MLA
5,173,LUX
5,200,MXP
5,176,MBA
5,160,KRT
5,245,RUH
5,174,MAA
5,180,MCT
5,187,MHD
5,108,FRU
5,136,HRK
5,153,KBP
5,175,MAD
5,171,LOS
5,152,JNB
5,66,CPT
5,150,JED
5,162,KUL
5,64,CNX
5,158,KMG
5,206,NGB
5,134,HRB
5,207,NGO
5,115,GMP
5,157,KIX
5,121,GUM
5,133,HNL
5,224,PHX
5,189,MKE
5,288,TPA
5,215,ORF
5,149,JAX
5,184,MEM
5,148,JAN
5,178,MCI
5,144,IND
5,94,ERI
5,25,BGR
5,109,FWA
5,83,DLH
5,119,GSO
5,188,MIA
5,156,KIN
5,110,GCM
5,128,HAV
5,170,LIM
5,113,GIG
5,118,GRU
5,198,MUC
5,105,FMO
5,135,HRG
5,125,HAJ
5,124,GZT
5,95,ERZ
5,146,IST
5,38,BSR
5,145,ISB
5,163,KWI
5,76,DAM
5,143,IKA
5,123,GYD
5,88,DOK
5,169,LCA
5,99,EXT
5,114,GLA
5,129,HER
5,122,GVA
5,39,BUD
5,35,BRI
5,102,FCO
5,97,EVN
5,6,AER
5,85,DME
5,166,LAX
5,111,GDL
5,211,OAK
5,112,GEG
5,253,SEA
5,101,FAI
5,13,ANC
5,194,MSP
5,27,BIL
5,90,DSM
5,182,MDW
5,120,GSP
5,103,FLL
5,179,MCO
5,77,DAY
5,61,CMH
5,139,IAD
5,54,CHS
5,98,EWR
5,185,MEX
5,3,ACA
5,43,BZE
5,80,DFW
5,11,AMA
5,79,DEN
5,73,CVG
5,71,CUN
5,100,EZE
5,104,FLN
5,63,CNF
5,50,CGH
5,37,BSB
5,32,BOG
5,107,FRA
5,132,HND
5,89,DPS
5,193,MNL
5,92,DVO
5,67,CRK
5,49,CEB
5,141,ICN
5,75,DAD
5,127,HAN
5,155,KHH
5,126,HAK
5,106,FOC
5,130,HGH
5,55,CJJ
5,56,CJU
5,82,DLC
5,70,CTU
5,69,CSX
5,57,CKG
5,52,CGO
5,45,CAN
5,31,BNE
5,7,AKL
5,131,HKG
5,42,BWN
5,51,CGK
5,60,CMB
5,86,DMM
5,138,HYD
5,47,CCU
5,33,BOM
5,29,BLR
5,93,DXB
5,81,DKR
5,62,CMN
5,22,BEY
5,19,BAH
5,78,DEL
5,8,ALA
5,16,AUH
5,87,DOH
5,96,ESB
5,28,BJV
5,84,DLM
5,74,CWL
5,18,AYT
5,36,BRS
5,24,BFS
5,20,BCN
5,9,ALC
5,91,DUS
5,5,ADB
5,14,ATH
5,12,AMM
5,44,CAI
5,4,ACC
5,2,ABV
5,48,CDG
5,59,CLT
5,40,BUF
5,34,BOS
5,58,CLE
5,21,BDL
5,41,BWI
5,26,BHM
5,30,BNA
5,17,AUS
5,15,ATL
5,1,ABQ
